feature,adr,occupancy,revenue
avg_booked_rate,108625519.33513641,6.40035235641335,2343864968442.0
total_rooms_on_books,509457.3589439392,94.01588276322582,477504680442.0
adr_lag_7d,3210808.4358329773,0.40061413985677063,133996177088.0
rev_lag_7d,158728.9328956604,0.8029436299439112,65435231748.0
adr_roll_7d,215351.74070167542,0.8297434736905416,37568242432.0
adr_lag_364d,155643.36796569824,0.271807811310282,28479558046.0
rev_lag_364d,199488.94540405273,0.25375704126781784,19435044220.0
pickup_21d,14974.113410949707,7.1972910769654845,14209239112.0
pickup_7d,20529.152671813965,4.075261378107825,10069443756.0
ooo_rooms,33514.319286346436,7.568006976682227,7840817604.0
adr_lag_14d,505940.6867866516,0.3356199504560209,6863466924.0
rev_lag_28d,13942.721885681152,0.7026673997752368,6743961838.0
week_of_year,49173.765787124634,0.14684954404947348,6291553196.0
mpi_roll_7d,79784.84551811218,0.0,4252125090.0
medallia_value_for_price,25720.172790527344,0.7989611009252258,3858917536.0
adr_lag_28d,42094.460063934326,0.7986959726231362,3479104458.0
adr_gap_vs_comp_lag_7d,22760.95802307129,0.0,3250202306.0
month,6184.674140930176,0.05570348835317418,3237382928.0
occ_roll_7d,43137.594440460205,5.057078207406448,3044461612.0
medallia_hotel_cleanliness,33675.58805847168,3.5070199463516474,2877692520.0
temp_min_f,9631.398750305176,0.428493992832955,2846529830.0
medallia_overall_satisfaction,80164.84490966797,0.23149969334190246,2766478620.0
adr_roll_28d,54623.130029678345,3.1575927661324386,2607665308.0
occ_lag_7d,32835.4278049469,0.6442976341786562,2550436448.0
adr_gap_vs_comp_roll_7d,5626.083110809326,0.0,2428210830.0
occ_lag_364d,26907.927127838135,0.5108722932018281,2415211224.0
rev_roll_7d,71340.968334198,0.3403264744847547,2401082348.0
pickup_14d,13040.980192184448,11.294515588873765,2281590100.0
rev_lag_14d,16653.74906539917,1.3286030022863997,2115870020.0
days_to_next_holiday,32783.61388397217,0.6019288583893285,2052390264.0
rev_roll_28d,17364.410514831543,2.2332438474404626,2045294424.0
ari_roll_28d,16120.076899528503,0.0,1979576260.0
adr_gap_vs_comp_roll_28d,37967.83353424072,0.0,1976948334.0
pickup_60d,23546.43678665161,0.1997030801139772,1886874952.0
rgi_roll_28d,62936.357944488525,0.0,1796398302.0
mpi_lag_28d,27167.685722351074,0.0,1769429906.0
available_rooms,9443.236038208008,6.931680550100282,1756285706.0
mpi_roll_28d,7935.408653259277,0.0,1556102606.0
medallia_likelihood_to_recommend,22604.866729736328,0.18950871902052313,1529975586.0
days_from_last_holiday,73409.24326705933,0.7306758283521049,1513937208.0
medallia_sample_size,13553.386043548584,0.6098801811458543,1416764266.0
occ_roll_28d,15920.275688171387,0.9954778049723245,1378917690.0
adr_gap_vs_comp_lag_28d,35875.09306335449,0.0,1303974938.0
occ_lag_14d,17907.669815063477,0.6271978575314279,1299201700.0
day_of_week,10142.58358001709,0.48945066489250166,1199704354.0
ari_lag_28d,14211.770879745483,0.0,1177244358.0
windspeed_max_mph,22133.000228881836,0.5408157234778628,1140364092.0
rgi_lag_7d,15045.384368896484,0.0,1137331846.0
pickup_30d,48222.24193191528,0.27684530935948715,1120658330.0
rgi_roll_7d,18389.144996643066,0.0,1105069972.0
occ_lag_28d,9814.139961242676,0.8667164121434325,972272060.0
temp_max_f,3979.139877319336,0.19187302063801326,862011610.0
ari_lag_7d,13136.833778381348,0.0,856824080.0
medallia_likelihood_to_return,4700.1769943237305,0.18903847844921984,843921290.0
temp_mean_f,34054.88539123535,0.6307828585122479,818874296.0
mpi_lag_7d,24126.215633392334,0.0,785840850.0
retail_rate,15045.47297668457,0.5289807058288716,529454176.0
ari_roll_7d,16701.65874481201,0.0,402252250.0
rgi_lag_28d,9279.3090133667,0.0,324491846.0
precipitation_in,8007.226257324219,0.049929054599488154,141832520.0
weathercode,326.44210052490234,0.10478670778684318,88296620.0
had_precipitation,0.0,0.0,8931770.0
comp_revpar_lag_28d,6739.577058792114,0.0,0.0
had_snow,0.0,0.0,0.0
is_weekend,1092.7879791259766,0.008469220018014312,0.0
is_federal_holiday,0.0,0.0,0.0
comp_occ_roll_7d,69591.42812347412,0.0,0.0
comp_adr_roll_7d,154399.69967269897,0.0,0.0
comp_adr_lag_28d,10160.846221923828,0.0,0.0
comp_adr_lag_7d,383014.9256706238,0.0,0.0
comp_adr_roll_28d,36393.24211883545,0.0,0.0
comp_occ_roll_28d,179015.8715286255,0.0,0.0
comp_occ_lag_7d,5897.634735107422,0.0,0.0
comp_occ_lag_28d,22702.055995941162,0.0,0.0
comp_revpar_roll_7d,139400.32986068726,0.0,0.0
comp_revpar_roll_28d,5788.835594177246,0.0,0.0
comp_revpar_lag_7d,68180.35581207275,0.0,0.0
quarter,0.0,0.016414559446275234,0.0
snowfall_in,0.0,0.0,0.0
